epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1903.76,0.64835,1.02984,0.82065,0.95435,0,0.80569,0.81395,0.83571,0.63024,0.80118,0.81395,0.83683,0.61009,0.75598,1.22331,0.85263,1.0406,0,0.001307,0.001307,0.001307
30,1967.77,0.63542,1.03445,0.78326,0.94705,0,0.86669,0.75594,0.84217,0.63244,0.89451,0.78883,0.85484,0.60507,0.80643,1.15238,0.83343,1.07877,0,0.00128225,0.00128225,0.00128225
31,2031.37,0.60336,0.95642,0.75211,0.94196,0,0.83297,0.7907,0.85024,0.64662,0.83547,0.82666,0.86064,0.6179,0.73757,1.11697,0.90098,1.03394,0,0.0012575,0.0012575,0.0012575
32,2095.22,0.62885,0.98121,0.78937,0.95004,0,0.74828,0.77907,0.81448,0.6161,0.80594,0.77907,0.8296,0.58092,0.74232,1.1759,0.91091,1.02569,0,0.00123275,0.00123275,0.00123275
33,2158.62,0.62946,0.90326,0.7766,0.96721,0,0.92657,0.73361,0.85821,0.65722,0.85752,0.77907,0.85266,0.6376,0.70481,1.15623,0.84286,1.04314,0,0.001208,0.001208,0.001208
34,2222.1,0.58684,0.93048,0.74501,0.92684,0,0.89931,0.76744,0.87812,0.66198,0.88091,0.7907,0.87785,0.64046,0.68611,1.14124,0.81041,1.03189,0,0.00118325,0.00118325,0.00118325
35,2285.75,0.61977,0.94705,0.72233,0.94579,0,0.9102,0.70716,0.84116,0.65174,0.8953,0.696,0.83951,0.62749,0.73689,1.12787,0.81091,1.08233,0,0.0011585,0.0011585,0.0011585
36,2349.73,0.63173,0.97653,0.77601,0.94528,0,0.75486,0.73256,0.79791,0.60089,0.81293,0.70745,0.79953,0.58093,0.76761,1.12704,0.86415,1.10644,0,0.00113375,0.00113375,0.00113375
37,2413.11,0.6022,0.9306,0.72773,0.93224,0,0.80274,0.7907,0.85332,0.64797,0.78927,0.77907,0.8258,0.60041,0.74938,1.13599,0.80168,1.08038,0,0.001109,0.001109,0.001109
38,2476.59,0.58135,0.88916,0.69879,0.92555,0,0.8919,0.76751,0.86588,0.65734,0.8919,0.76751,0.84976,0.62428,0.77926,1.14098,0.82815,1.11471,0,0.00108425,0.00108425,0.00108425
